agreiz,agreiz,1921
agreiz,agreiz,1982
agreiz,agreiz,1904
agreiz,agreiz,1915
Agreis,agreiz,1943
Agreis,agreiz,1857
agreizma,agreiz,1908
agreizm',agreiz,1921
agreizholl,agreizholl,1905
Agreizholl,agreizholl,1922
agreizpenn,agreizpenn,1919
Agrezpebober,agreizpepober,1912
agreiztenn,agreiztenn,1924
Agreiztout,agreiztout,1869
agreistout,agreiztout,1883
Agreiztout,agreiztout,1905
Agreiztout,agreiztout,1907
agriforz,agriforzh,1908
agripouh,agrizpoazh,1844
agripoah,agrizpoazh,1887
agroas,agroaz,1710
aGroas,agroaz,1727
agrogdent,agrogdent,1906
agrogilin,agrogilin,1935
agrogkollier,agrogkolier,1905
agrokkollier,agrogkolier,1905
agrogpa,agrogpav,1906
agropajou,agropado,1935
aguh,aguzhkaer,1909
kaer,aguzhkaer,1911
aguhkaer,aguzhkaer,1913
ahantr,ahanter,1839
aanter,ahanter,1854
ahantr,ahanter,1897
ahantr,ahanter,1925
ahantr,ahanter,1939
ahardi,ahardizh,1920
ahardi,ahardizh,1985
aharp,aharp,1896
aherzkaer,aharzkaer,1888
hac'harzhasko,aharzhhagasko,1889
Ahedgwel,ahedgwel,1909
ahedkalz,ahedkalz,1928
htquet,ahedket,1792
hetcostez,ahedkostez,1612
hedblad,ahedplat,1908
ahelpennkaer,ahelpennkaer,1908
ahendall,ahendall,1834
Ahendall,ahendall,1903
ahentall,ahendall,1911
ahineah,ahenozh,1891
ahentadeu,ahentadahentado,1849
ahentadeu,ahentadahentado,1928
Ahentad,ahentadahentado,1939
ac'herw,ahervez,1902
Aherve,ahervez,1913
aeskenkaer,aheskenn,1896
ainiennou,ahinienno,1860
ahiniennou,ahinienno,1889
ahiniennou,ahinienno,1905
ahir,ahir,1872
ahirded,ahirded,1900
ahinihue,ahiziv,1854
aolviscoah,ahollviskoazh,1790
Aolviscoah,ahollviskoazh,1792
olviscoh,ahollviskoazh,1818
aolviskoah,ahollviskoazh,1896
ahollviskoaz,ahollviskoazh,1902
ahollviskoaz,ahollviskoazh,1911
ahordennou,ahordenno,1869
ahoulen,ahoulenn,1849
ainkorn,ainkorn,1963
aisprid,aisprid,1838
iames,ajames,1612
alair,alaer,1843
alaer,alaer,1916
alagad,alagad,1924
alagad,alagad,1964
lajado,alajado,1913
Alajadoualajadao,alajado,1931
alamcaer,alammgaer,1710
alamgaer,alammgaer,1921
alamgaer,alammgaer,1939
alammjunt,alammjunt,1913
alammkein,alammkein,1877
alampik,alammpik,1911
alammploumm,alammplom,1871
alammploum,alammplom,1878
alamtourtarkaz,alammtourtargazh,1877
alammat,alammat,1969
alammeu,alammo,1932
alammoupenn,alammopenn,1924
alammoupenn,alammopenn,1907
alargant,alargentez,1905
alac'hkiklanv,alazhki(klav),1908
alac'hkyklanv,alazhki(klav),1919
alazki,alazhki(klav),1943
alazki,alazhki(klav),1961
aledkorf,aledkorf,1967
aleizdorn,aleizhdorn,1847
aleizdourn,aleizhdorn,1906
aleizdourn,aleizhdorn,1924
aleizkorzen,aleizhkorzenn,1872
aleizkorzen,aleizhkorzenn,1913
aleizkorzen,aleizhkorzenn,1923
